Name,Nickname,Date,Message
Raphael Krut-Landau,rafpaf,2024-05-24 17:44:03+00:00,"[Cache] Only show ""Adaptive"" and ""Don't cache"" options on OSS page (#43122)

* Limit options on OSS Admin/Performance page

* simplify

* simplify

* simplify

* divide constants to avoid circular imports

* divide constants to avoid circular imports

* divide constants to avoid circular imports

* simplify

* simplify

* simp

* fix

* simplify

* simplify

* fix test"
Aleksandr Lesnenko,alxnddr,2024-05-24 15:33:03+00:00,"Revert ""minimal support for multiple values for Access-Control-Allow-Origin (#42888)"" (#43125)

This reverts commit bf6fd9ef25395a1f4cd6f800836bfd536a001c89."
Aleksandr Lesnenko,alxnddr,2024-05-24 15:29:29+00:00,fix bars width when chart has two y-axes (#43100)
Uladzimir Havenchyk,uladzimirdev,2024-05-24 15:20:04+00:00,"[Dashboard] Optimize rendering by reducing the number of props passing down to from the very top (#43114)

* Avoid unnecessary re-renderings in dashboard - getEmbeddedParameterVisibility

* Avoid unnecessary re-renderings in dashboard - favicon, page title

* Exclude isLoadingComplete from passing down

* Avoid unnecessary re-renderings in dashboard - metadata

* Drop metadata from Public Dashboard

* Avoid unnecessary re-renderings in dashboard - dashcardData"
Nicolò Pretto,npretto,2024-05-24 13:48:57+00:00,"minimal support for multiple values for Access-Control-Allow-Origin (#42888)

* minimal support for multiple origins in security middleware

* if -> when to be more idiomatic

* adds tests for parse-url

* if -> when

* add missing new line in tests

* split the logic of validation in functions

* adds tests for the small functions

* use namespace in tests instead of :refer"
Romeo Van Snick,romeovs,2024-05-24 13:16:01+00:00,Remove fixed height on popover (#43058)
Romeo Van Snick,romeovs,2024-05-24 12:01:58+00:00,"Fix breakout pivot tether (#43060)

* Limit the height of the breakout popover

* Allow the click action popover to untether to prevent overflowing the screen

* Add reproduction for #43075

* Rename breaktrhough to breakout

Co-authored-by: Kamil Mielnik <kamil@kamilmielnik.com>

* Use findAllByTestId

Co-authored-by: Kamil Mielnik <kamil@kamilmielnik.com>

* Remove copy pasted question name

Co-authored-by: Kamil Mielnik <kamil@kamilmielnik.com>

* Remove unused api intercept

Co-authored-by: Kamil Mielnik <kamil@kamilmielnik.com>

---------

Co-authored-by: Kamil Mielnik <kamil@kamilmielnik.com>"
Romeo Van Snick,romeovs,2024-05-24 08:36:39+00:00,"Fix bucket trigger position (#43061)

* Make accordion list item content 100% wide

* Remove unused Dot component

* Move bucket popover trigger to the end of the item

* Revert QueryColumnPicker styles to what they were before adding the info icons

* Fix the height of the bucket picker"
Uladzimir Havenchyk,uladzimirdev,2024-05-24 06:19:03+00:00,[UI] Fix styles for disabled Switch (#43091)
Case Nelson,snoe,2024-05-23 22:39:57+00:00,"[Metrics V2] Port Legacy metric tests and fixes (#43094)

* [Metrics V2] Port Legacy metric tests and fixes

Fixes #43093

* Address pr review"
Alexander Polyankin,ranquild,2024-05-23 21:57:41+00:00,Optimize initial dashboard load (#42901)
metamben,metamben,2024-05-23 21:29:57+00:00,"Stop returning archived metrics in available metrics (#43031)

* Stop returning archived metrics in available metrics
* Add archived metric test
* Migrate legacy metric tests
* Delete lib/legacy_metric.cljc"
metamben,metamben,2024-05-23 18:39:43+00:00,Prevent returning metrics v2 migration backup field (#43087)
Emmad Usmani,EmmadUsmani,2024-05-23 16:58:26+00:00,"refactor scatter plot to separate code path (#43032)

* refactor scatter plot model to separate function

* (2/3) refactor scatter plot option to separate function (#43033)

* use getScatterPlotOption

* use buildEChartsScatterSeries directly

* remove hoveredSeriesDataKey from scatter

* (3/3) improve chart model types (#43034)

* create WaterfallChartModel type

* create ScatterPlotModel type

* rename BaseCartesianChartModel to CartesianChartModel

* simplify chartModel creation in hook"
Nick Fitzpatrick,npfitz,2024-05-23 14:40:37+00:00,"42592 new modal adding database (#42966)

* modal built

* code cleanup, removing unused components

* whitespace shame

* adjusting unit test

* removing px shame"
Ngoc Khuat,qnkhuat,2024-05-23 13:46:12+00:00,Fix flaky test send-pulses-exceed-thread-pool-test (#43050)
Chris Truter,crisptrutski,2024-05-23 13:39:52+00:00,Fix a bunch of small typos (#43055)
Kamil Mielnik,kamilmielnik,2024-05-23 12:56:05+00:00,Add repro for #42999 (#43000)
Noah Moss,noahmoss,2024-05-23 12:45:02+00:00,Rework popular_items to use recent_views and view_count columns (#43041)
Alexander Polyankin,ranquild,2024-05-23 12:29:50+00:00,"Revert ""Load dashcard metadata in parallel with the query (#42953)"" (#43063)

This reverts commit a0a4a26fdf04dd7378ee38357ab5ad6110f77069."
Ryan Laurie,iethree,2024-05-23 11:32:02+00:00,Properly show parent DBs in entity picker recents and search (#43016)
Tim Macdonald,tsmacdonald,2024-05-23 09:55:29+00:00,"[ParseSQL] Find-and-replace with optional tags (#43013)

* Support find-and-replace with optional tags

[Fixes #42583]"
Tim Macdonald,tsmacdonald,2024-05-23 08:47:18+00:00,"[ParseSQL] Find-and-replace for snippets (#43011)

* Support F&R for snippets

[Fixes #42648]"
Kamil Mielnik,kamilmielnik,2024-05-23 08:18:08+00:00,Add a repro for #36508 (#43002)
Alexander Polyankin,ranquild,2024-05-23 07:16:01+00:00,Flaky e2e fix (#43048)
Kamil Mielnik,kamilmielnik,2024-05-23 06:57:27+00:00,"Fix - Empty collections shown in Data Picker (#42959)

* Generate different shouldShowItem for different pickers

* Add repro for #42957

* Update test to use models instead of metrics"
Uladzimir Havenchyk,uladzimirdev,2024-05-23 06:52:17+00:00,Drop props spreading to DashboardHeader (#42887)
bryan,escherize,2024-05-22 23:25:57+00:00,bump saml20 - fix azure SLO (#43022)
Alexander Polyankin,ranquild,2024-05-22 22:05:11+00:00,"Load dashcard metadata in parallel with the query (#42953)

* Split card data and query

* Split card data and query

* Split card data and query

* Fix loading state

* Postpone card check

* Postpone card check

* Postpone field check

* Postpone field check

* Postpone field check

* Postpone field check

* Postpone field check

* Add await

* Add await

* Add await

* Add await

* Fix tests

* Fix data loading

* Fix data loading

* Fix data loading

* Fix data loading

* Revert ""Fix data loading""

This reverts commit 2b782b99368f6f8fcdbe0cfa086c8c693d9d3f86.

* Fix data loading

* Fix test

* Fix test

* Fix embedding

* Fix xrays

* Fix xrays"
Sloan Sparger,sloansparger,2024-05-22 21:22:18+00:00,"Update link to docs about ""No self-service"" deprecation (#43038)"
Nick Fitzpatrick,npfitz,2024-05-22 20:28:08+00:00,"42934 entity picker create collection root (#43005)

* NewCollectionDialog adjustment and unit test

* adding unit test for NewDashboardDialog"
Alberto Perdomo,albertoperdomo,2024-05-22 19:46:48+00:00,"Improvements to embedding sdk readme (#43021)

* SDK readme: update available and planned features

* SDK readme: general improvements"
Ryan Laurie,iethree,2024-05-22 19:41:17+00:00,"simplify db strategy editor markup (#42986)

* simplify strategy editor markup

* make it work for OSS too 😁"
bryan,escherize,2024-05-22 18:51:39+00:00,"Effective location on collection recent items (#43018)

* add effective_location to recent-collection-items

* cleanup"
Alexander Polyankin,ranquild,2024-05-22 18:26:23+00:00,Add data source specific icons to data and join steps in the notebook editor (#42982)
Case Nelson,snoe,2024-05-22 17:51:32+00:00,"[Metrics V2] Handle clashing expression names when adjusting metrics (#42984)

* [Metrics V2] Handle clashing expression names when adjusting metrics

Fixes #42782

* Address PR review"
Ryan Laurie,iethree,2024-05-22 14:58:10+00:00,update required checks copy documentation (#43003)
Jeff Bruemmer,jeff-bruemmer,2024-05-22 14:57:46+00:00,docs - download diagnostics (#42930)
Braden Shepherdson,bshepherdson,2024-05-22 14:18:27+00:00,"Drivers: Update the driver changelog with new features (#43004)

These were added in #42602 but I neglected to update the changelog.
Their defaults should serve for most drivers."
Uladzimir Havenchyk,uladzimirdev,2024-05-22 13:05:59+00:00,Cleanup annoying console warning from emotion (#42819)
Tim Macdonald,tsmacdonald,2024-05-22 10:44:18+00:00,"Handle native query find-and-replace for queries with card refs (#42939)

* Handle native query find-and-replace for queries with card refs

[Fixes #42582]

c.f. limitiations in #42938

* wee cleanup"
Cam Saul,camsaul,2024-05-22 09:23:58+00:00,"Tests for #15131 (#42972)

* Tests for #15131

* Appease Kondo"
Romeo Van Snick,romeovs,2024-05-22 08:58:16+00:00,"Limit the height of actions popover (#42946)

* Limit the height of actions popover

* Use Box instead of custom wrapper

* Add rem import"
bryan,escherize,2024-05-22 04:45:50+00:00,the ' makes the doseq do nothing (#42988)
Cam Saul,camsaul,2024-05-22 03:44:00+00:00,"`metabase.search` namespace (#42487)

* Search API namespace

* Search API namespace

* Search API namespace

* Fix Kondo warnings

* Fix typo

* Finally solve the MySQL ^:parallel test failures <3

* Make some search tests REPL-friendly

* Did I finally fix `^:parallel` MySQL tests?

* Ok I give up just make the search tests single-threaded for MySQL/MariaDB.

* Revert the stuff to make paralell tests work for MySQL... for now.

* Keep new name

* Revert deps-graph changes

* Remove unused namespaces

* Fix Kondo linter for log/info + format

* Misc fixes :wrench:

* Test fixes :wrench:"
Cam Saul,camsaul,2024-05-22 02:56:04+00:00,"`metabase.analyze` API namespace (#42469)

* Squashed commit

* Update config

* Backport the kondo ignore stuff from other PR.

* `metabase.analyze` API namespace"
Cal Herries,calherries,2024-05-22 02:32:48+00:00,Tidy api-changelog.md (#42992)
John Swanson,johnswanson,2024-05-21 23:34:16+00:00,"Fix `report_card.collection_preview` in v49 (#42950)

This is a bit painful. I merged this change, but realized we need to
backport the fix to v49. However:

- we don't want to have two versions of the migration (one with a v49
id, one with a v50 id) because then if someone upgrades to 50, then
downgrades to 49, the `rollback` will run and change the type back,
leading to a bug.

- we don't want to push a v51 changeSet ID to v49 or v50, because we
give the user a helpful notice when their database needs a downgrade.
We do this by checking for the latest *executed* migration in the
database and comparing it to the latest migration that Liquibase knows
about, and making sure the executed isn't bigger than the known (e.g.
you can't have executed a v51 migration if it isn't in the local
migration yaml). That would all work fine, except that then we want to
tell you how to downgrade your database, and we use the latest-executed
version for that. So if, for example, someone upgraded from 48 to 49 and
got a v51 changeset, then downgraded back to 48, they would get an error
telling them to run the *v51* jar to roll back their DB.

In this case though, I think it's fine to just move the migration around
to v49, then we can backport it to 49 and 50."
Ryan Laurie,iethree,2024-05-21 22:49:10+00:00,"add snowplow tracking for upsells (#42955)

* add snowplow tracking for upsells

* add upsell snowplow test

* appease the linter"
Emmad Usmani,EmmadUsmani,2024-05-21 22:23:18+00:00,"highlight hovered timeline event (#42969)

* highlight hovered timeline event

* add e2e test

* use TIMELINE_EVENT_DATA_NAME constant

* add test case for clicking icon"
bryan,escherize,2024-05-21 22:07:43+00:00,"Fixing a couple Recents API corner cases (#42813)

* handle visibilty_type on tables

- remove def wtf
- uncomment + fix tests

* make sure parent colls exist on report_cards

- official is a string
- ensure the database for a recent table exists

* remove def + improve arg name

* docstring

* improve + extract valid parent collection check

* grab the entity's colllection id and use that for the validity test

- This seems like something that should never happen, but I've seen it
happen. I think it might be possible from a down/up migration.

* fix tests

* fix more tests

* cleanup

* fixing another test

* add error-avoider, to filter bad items in prod instead of throwing

- improve recent view testing for table

* remove wrap (it double prints the value)"
Denis Berezin,deniskaber,2024-05-21 21:34:27+00:00,"feat: Add utm parameters to embedded OSS Metabase footer link (#42968)

* Add utm params to  link

* Fix e2e, add url domain

* Fix e2e"
Case Nelson,snoe,2024-05-21 21:20:32+00:00,"[Metrics V2] Backfill viz settings for compatible-series (#42970)

* [Metrics V2] Backfill viz settings for compatible-series

Fixes #42575

The BE should rely on the query when there is no corresponding viz setting.
If there is no graph.metrics setting, assume that all last-stage aggregations are used.
No graph.dimensions -> use breakouts.

* Fix tests

* Unskip e2e test

---------

Co-authored-by: Alexander Polyankin <alexander.polyankin@metabase.com>"
Jeff Bruemmer,jeff-bruemmer,2024-05-21 21:13:17+00:00,docs - command palette (#42397)
Case Nelson,snoe,2024-05-21 19:49:55+00:00,"[Metrics V2] Adjust expression clauses in metric refs (#42962)

Fixes #42360"
Jesse Devaney,JesseSDevaney,2024-05-21 19:30:54+00:00,"Fix overly frequent line series dots (#42735)

* hide symbols for charts with too many of them

* update loki

* prevent series dots showing up after manually disabling another series

* update loki snapshots

* refactor conditional

* update loki snapshots"
metamben,metamben,2024-05-21 18:58:47+00:00,"Migrate druid metrics-inside-aggregation-clauses-test to druid-jdbc (#42653)

* Migrate druid metrics-inside-aggregation-clauses-test to druid-jdbc
* Fix test-runner: druid should not exclude druid-jdbc
* Implement set-parameter and unprepare-value for LocalDateTime for druid-jdbc"
Nick Fitzpatrick,npfitz,2024-05-21 18:39:59+00:00,"changing button height and CP input placeholder (#42770)

* changing button height and CP input placeholder

* adjusting search button size

* translate new placeholder"
Denis Berezin,deniskaber,2024-05-21 18:31:17+00:00,"fix(sdk): Various fixes for InteractiveQuestion theming (#42932)

* Fixes for InteractiveQuestion theming

* Update readme

* Fix for unset filter theme color

* Fix unit tests

* Fix unit tests"
Sloan Sparger,sloansparger,2024-05-21 17:50:57+00:00,Fix `c` method of `ttag` not showing strings as tagged in debug mode #42965
Alexander Polyankin,ranquild,2024-05-21 17:33:25+00:00,"Revert ""Fix failing offset tests"" (#42961)

* Revert ""Fix failing offset tests (#42944)""

This reverts commit fca30b1ae5ef75bbaead824f27c27a3f1694c67c.

* Fix e2e"
Phoomparin Mano,heypoom,2024-05-21 17:29:24+00:00,"feat(sdk): apply user interface color overrides to the sdk (#42834)

* feat(sdk): apply ui color overrides to the sdk

selector state

set global embedding colors

rename the method

* test(sdk): add unit test on color overrides"
Kamil Mielnik,kamilmielnik,2024-05-21 17:26:15+00:00,"Fix - Admin Email does not Display on Question Timeout Page (#42937)

* Extract EmailAdmin and add tests for it

* Rename EmailAdmin to AdminEmail

* Remove redundant async

* Add a test case for no email"
Romeo Van Snick,romeovs,2024-05-21 17:18:31+00:00,"Fix icon colors in column picker (#42945)

* Make icons 16px in data picker

* Use text-light in DataPicker to match other icons"
Kamil Mielnik,kamilmielnik,2024-05-21 15:24:34+00:00,"Fix failing offset tests (#42944)

* Fix failing offset tests

* Fix flaking test"
Cal Herries,calherries,2024-05-21 13:46:44+00:00,[forward-port] More upload test changes for clickhouse (#42531) (#42715)
Cal Herries,calherries,2024-05-21 13:46:02+00:00,CSV uploads: Add test for appending duplicate data (#42918)
Alexander Polyankin,ranquild,2024-05-21 12:31:22+00:00,Cleanup DataPicker initialization (#42916)
Uladzimir Havenchyk,uladzimirdev,2024-05-21 09:48:02+00:00,Drop props spreading to DashboardSidebars (#42907)
Kamil Mielnik,kamilmielnik,2024-05-21 06:38:18+00:00,"Repro #36631 - A ""Default period"" is appended for Date columns within Custom Columns when using Question as Source Data (#42876)

* Add a repro for #36631

* Do not wrap id"
Kamil Mielnik,kamilmielnik,2024-05-21 06:37:45+00:00,"Cover `Offset()` in custom expressions with e2e tests (#42756)

* [MBQL lib] Reject broken uses of `offset` in expressions, filters (#42662)

- Using `offset` in custom expressions is supported only when there is
  an order-by defined on that stage.
- Using `offset` in custom filters is not supported at all, currently.

* Support `Offset()` in custom columns [frontend] (#42326)

* Only nest expressions referenced in breakouts or aggregations

* Support Offset() as expression with no breakouts

* Test fixes :wrench:

* Oracle test update

* Improved Oracle test

* Test update :wrench:

* Fix busted test

* Add naive support for Offset() in expressions

* Introduce MBQLClauseFunctionReturnType

* Add ""window"" to MBQLClauseFunctionReturnType and use it for the offset function

* Handle offset type inference

* Remove unused export

* Use ""expression"" instead of ""window"" return type
- Rename identifiers in isCompatible
- Make isCompatible accept a clause object instead of just the type
- Handle offset as a special case in isCompatible

* Use any type

* Rename expectedArgumentType to expectedType

* Format code

* Sort types

* Do not suggest offset function in filters

* Fix offset not working in case

* Revert ""Do not suggest offset function in filters""

This reverts commit e63790b78010a6ebdb9f7452afadc8d00e2b3e99.

* Fix order of adjustments

---------

Co-authored-by: Cam Saul <github@camsaul.com>
Co-authored-by: Cam Saul <1455846+camsaul@users.noreply.github.com>

* Disable offsets in filters expressions

* Group existing aggregations-specific tests

* Remove repro for a closed issue

* Use findByText instead of contains

* Add a test for filter expressions

* Add a test for aggregation expressions suggestions

* Disable offsets in filters expressions (#42755)

* Add a test for custom column suggestions

* Add ""typing"" to enterCustomColumnDetails

* Use enterCustomColumnDetails, improve assertions

* Add more assertions

* Optimize queries

* Add typing for offset expressions

* Add a repro for metabase#42764

* Add a TODO

* Add a TODO

* Add a TODO

* Use NumericLiteral

* Post-merge fixes

* Update test

* Add tests for other custom expressions

* Test drills

* Format code

* Update test name

* Add an assertion

* Add assertions for the preview

* Unskip fixed issue

---------

Co-authored-by: Braden Shepherdson <braden@metabase.com>
Co-authored-by: Cam Saul <github@camsaul.com>
Co-authored-by: Cam Saul <1455846+camsaul@users.noreply.github.com>"
metamben,metamben,2024-05-21 06:10:26+00:00,Fix flaky adjust-mixed-multi-source-test (#42926)
Sloan Sparger,sloansparger,2024-05-20 23:33:19+00:00,"Split out Search e2e tests and Record Pre-Release Sanity Checks with Replay (#42933)

* add replay recordings to sanity check e2e tests during pre-release workflow

* split out search tests from onboarding folder

* parallelize pre-release testing

---------

Co-authored-by: Ryan Laurie <iethree@gmail.com>"
John Swanson,johnswanson,2024-05-20 22:20:05+00:00,"Correct type for `report_card.collection_preview` (#42919)

In v49, we converted all boolean types to `bit(1)` on mysql/mariadb. It
looks like we missed this one, so when you `GET` a card it has
`""collection_preview"": 1`. Then we get an error when trying to save,
because `collection_preview` should be a boolean.

I verified that after this migration, `GET`ting a card results in a
boolean `""collection_preview""`."
Jesse Devaney,JesseSDevaney,2024-05-20 20:41:09+00:00,fix trend charts spacing (#42860)
Sloan Sparger,sloansparger,2024-05-20 20:19:05+00:00,Remove flaky / redundant e2e test (#42920)
Jeff Bruemmer,jeff-bruemmer,2024-05-20 20:17:37+00:00,small edits (#42923)
metamben,metamben,2024-05-20 19:27:40+00:00,"Fix comment (#42906)

* Fix comment"
Kamil Mielnik,kamilmielnik,2024-05-20 17:47:00+00:00,Create the new Metric entity (Metrics v2) (#38457)
Roman Abdulmanov,NevRA,2024-05-20 17:44:49+00:00,revert embed board (#42911)
Uladzimir Havenchyk,uladzimirdev,2024-05-20 17:43:58+00:00,Drop props spreading to DashboardGrid (#42875)
Sloan Sparger,sloansparger,2024-05-20 17:23:52+00:00,"Disable popular items e2e home page test in OSS (#42896)

* disables testing for home page popular items in oss

* Update e2e/test/scenarios/onboarding/home/homepage.cy.spec.js

Co-authored-by: Ryan Laurie <30528226+iethree@users.noreply.github.com>

---------

Co-authored-by: Ryan Laurie <30528226+iethree@users.noreply.github.com>"
Sloan Sparger,sloansparger,2024-05-20 17:23:02+00:00,asserts values match current expectations of values which hopefully solves race conditions that might be happening (#42905)
Denis Berezin,deniskaber,2024-05-20 16:57:49+00:00,"fix(sdk): Use theme font in charts and tooltips (#42855)

* Allow charts font override in SDK

* Fix default not configured font"
Ryan Laurie,iethree,2024-05-20 16:04:33+00:00,"Improve db setup tests more (#42899)

* improve db setup test

* improve embedding test"
Ryan Laurie,iethree,2024-05-20 15:15:42+00:00,Remove utm from source plan in upsell links (#42890)
Ryan Laurie,iethree,2024-05-20 13:32:55+00:00,"Make Metabot Cool Again (#42797)

* Make Metabot Cool Again

* update tests"
Uladzimir Havenchyk,uladzimirdev,2024-05-18 10:03:29+00:00,"Exclude jspdf and html2canvas from the bundle (#42536)

* Exclude jspdf and html2canvas from the bundle

* cleanup"
John Swanson,johnswanson,2024-05-17 22:36:56+00:00,"Add a type to collections returned by search (#42535)

Under:

- `item.type`

- `item.collection.type`, and

- `item.collection.effective_ancestors.*.type`"
Cal Herries,calherries,2024-05-17 21:43:22+00:00,Use `db` argument in `driver/database-supports?` for uploads (#42851)
John Swanson,johnswanson,2024-05-17 21:14:01+00:00,Update API Changelog (#42864)
Jeff Bruemmer,jeff-bruemmer,2024-05-17 20:59:36+00:00,docs - csv upload replace (#42529)
Denis Berezin,deniskaber,2024-05-17 20:29:12+00:00,Restore default styles for subtle button (#42854)
metabase-bot[bot],metabase-bot[bot],2024-05-17 19:22:00+00:00,"Update Readme version references and published npm version to 0.1.4 (#42852)

Co-authored-by: Metabase bot <metabase-bot@metabase.com>"
Noah Moss,noahmoss,2024-05-17 18:07:31+00:00,Fix schema error in recent views query (#42844)
Sloan Sparger,sloansparger,2024-05-17 17:52:03+00:00,"Fix homepage flaky test (#42839)

* fixes homepage flaky test

* take 2

* better fix"
Nick Fitzpatrick,npfitz,2024-05-17 17:10:56+00:00,fixing e2e flakes in search-snowplow and recently-viewed specs (#42840)
Ryan Laurie,iethree,2024-05-17 16:54:33+00:00,Improve db connection setup test (#42838)
Nemanja Glumac,nemanjaglumac,2024-05-17 16:01:23+00:00,Remove GoogleAnalytics specific logic from the FE (#42827)
Oisin Coveney,oisincoveney,2024-05-17 14:44:09+00:00,Review suggestions from #42768 (#42830)
Romeo Van Snick,romeovs,2024-05-17 14:23:03+00:00,"Scroll to created column when extracting or combining columns in chill mode (#42650)

* Set scrollToLastColumn ui control from column extract action

* Scroll to last column when the uiControl is set

* Scroll to last column when combining a column

* Scroll to last column when combining a column via the + shortcut

* Scroll to last column when extracting a column via the + shortcut

* Remove all references to settingsSyncOptions

* Check that the column is added at the end

* Disable scrollToLastColumn once used

* Add test that verifies scrollToLastColumn ui control has been reset"
Ngoc Khuat,qnkhuat,2024-05-17 14:06:21+00:00,Add task history status (#42372)
Denis Berezin,deniskaber,2024-05-17 13:40:28+00:00,"Add custom theming support for SDK InteractiveQuestion component (#42663)

* Add proper brand colors to drills menu

* Add theming for filters and drills

* Fix css vars

* Fix table css

* Add SDK theme colors interface and remapping

* Fix dashboard brand color issue

* Fix theme colors interface

* Fix default theme table cell background

* Fix typo

* Fix for qb filters panel custom border"
Nemanja Glumac,nemanjaglumac,2024-05-17 13:26:10+00:00,"Drop the ""frozen"" frontend install during build when in CI (#42771)"
Oisin Coveney,oisincoveney,2024-05-17 13:24:48+00:00,"Convert RefreshWidget to Mantine, CSS modules, and TS (#42768)"
